<><><><><><><><> 
Begin: 10-Jun-2014 16:10:10 
Matlab version  8.2.0.701 (R2013b) 
Psychtoolbox version  3.0.11 - Flavor: beta - Corresponds to SVN Revision 4591
For more info visit:
https 
Subjid: s00 Run Number: 3 
<><><><><><><><> 
Columns info in data file: 
1. left indvd 2. # right indvd  
3. response (left - 1 :: right - 2) 4. RT  
<><><><><><><><> 
Columns info in (this) info file: 
1. Stimulus start time (from trial start) 2. Stimulus off-time(from stimulus start time) 
3. RT or max response duration, if no response (from stimulus start time) 
 
0.484 0.011 0.011 
0.284 0.011 0.011 
0.216 0.011 0.011 
0.501 0.011 0.011 
0.400 0.011 0.011 
0.399 0.011 0.011 
0.567 0.011 0.011 
0.451 0.011 0.011 
0.451 0.011 0.011 
0.551 0.011 0.011 
0.533 0.011 0.011 
0.434 0.011 0.011 
0.283 0.011 0.011 
0.300 0.011 0.011 
0.550 0.011 0.011 
0.217 0.011 0.011 
<><><><><><><><> 
RT (mean):  0.01 
Consistency:  0.22 
Self Consistency:  0.07 
<><><><><><><><> 
End: 10-Jun-2014 16:12:20 
