28,57,1,0.45597
29,3,1,0.011846
26,7,1,0.22786
11,39,1,0.01095
28,5,1,0.010979
4,38,1,0.010975
42,49,1,0.011125
7,47,1,0.011047
57,34,1,0.010971
59,24,1,0.010977
52,29,1,0.010952
15,22,1,0.010973
19,49,1,0.010993
1,41,1,0.010962
15,54,1,0.010975
3,23,1,0.010942
42,18,1,0.01105
36,8,1,0.010978
23,18,1,0.011045
8,13,1,0.010975
46,48,1,0.010987
53,5,1,0.010973
22,47,1,0.010886
58,26,1,0.010972
52,47,1,0.011072
28,22,1,0.011122
39,40,1,0.010975
12,45,1,0.011039
39,13,1,0.010975
32,9,1,0.010975
33,14,1,0.010979
18,41,1,0.010973
26,37,1,0.010976
20,45,1,0.010972
43,12,1,0.010973
7,28,1,0.011007
44,53,1,0.010976
13,46,1,0.011028
57,15,1,0.010973
29,19,1,0.010976
36,53,1,0.010994
42,20,1,0.011039
32,30,1,0.011071
34,39,1,0.010977
11,26,1,0.010976
60,40,1,0.010928
54,2,1,0.011011
27,59,1,0.010979
52,44,1,0.011048
49,32,1,0.010975
44,42,1,0.011041
16,23,1,0.010977
21,60,1,0.011066
42,52,1,0.011038
2,47,1,0.010977
13,14,1,0.010997
21,3,1,0.010996
45,31,1,0.010968
1,18,1,0.010977
13,55,1,0.011416
36,46,1,0.010985
9,58,1,0.010978
51,39,1,0.011036
24,31,1,0.01117
54,57,1,0.011026
44,31,1,0.011002
9,15,1,0.01098
59,50,1,0.010977
33,41,1,0.010974
15,8,1,0.010975
40,24,1,0.010978
51,48,1,0.010979
37,21,1,0.010938
60,52,1,0.01098
27,36,1,0.010978
31,18,1,0.011037
48,2,1,0.011009
54,3,1,0.010978
24,35,1,0.011015
5,12,1,0.010978
22,21,1,0.010997
27,7,1,0.010994
16,32,1,0.010978
22,10,1,0.010981
28,2,1,0.011034
22,5,1,0.010976
4,48,1,0.010976
35,23,1,0.011041
28,11,1,0.010993
20,30,1,0.010991
32,42,1,0.010925
30,53,1,0.010975
19,45,1,0.010976
31,5,1,0.010976
48,29,1,0.010974
20,57,1,0.01113
46,9,1,0.010975
47,36,1,0.011069
20,33,1,0.010973
36,26,1,0.01096
18,17,1,0.01105
13,25,1,0.011035
57,60,1,0.010976
30,4,1,0.010979
59,22,1,0.010992
57,6,1,0.010975
49,20,1,0.010971
30,24,1,0.010976
12,4,1,0.010983
17,41,1,0.010971
22,60,1,0.010945
46,10,1,0.011038
35,56,1,0.010983
60,18,1,0.010978
51,9,1,0.010976
45,54,1,0.010972
30,33,1,0.01098
8,1,1,0.010979
11,59,1,0.010972
55,51,1,0.011024
60,4,1,0.011032
47,26,1,0.011035
31,4,1,0.010887
27,52,1,0.010977
54,29,1,0.011031
9,36,1,0.010986
16,45,1,0.010976
22,6,1,0.011076
39,26,1,0.010973
55,15,1,0.010973
58,52,1,0.010979
51,32,1,0.011115
25,31,1,0.01097
58,19,1,0.011058
40,44,1,0.01098
55,60,1,0.011036
14,47,1,0.010972
46,18,1,0.010979
56,15,1,0.01097
8,35,1,0.010988
3,51,1,0.011082
31,2,1,0.010941
55,20,1,0.010977
2,29,1,0.011071
4,39,1,0.011036
44,10,1,0.010975
56,27,1,0.010977
16,36,1,0.011037
19,53,1,0.010987
34,20,1,0.011021
41,35,1,0.011057
27,3,1,0.010978
19,55,1,0.010987
46,43,1,0.010948
48,3,1,0.010976
21,42,1,0.010941
30,1,1,0.010975
2,5,1,0.011035
21,28,1,0.011039
18,22,1,0.010973
3,50,1,0.011036
11,24,1,0.010965
35,32,1,0.011007
17,31,1,0.010978
6,59,1,0.011054
51,47,1,0.011005
50,49,1,0.010999
42,28,1,0.010982
1,51,1,0.011043
3,2,1,0.010993
30,9,1,0.010976
36,2,1,0.010974
42,53,1,0.011377
19,59,1,0.010979
18,26,1,0.010973
