1,41,1,3,1.4046
1,91,2,5,0.34565
0,76,2,7,0.72427
1,116,2,7,0.6923
1,103,2,6,0.52409
1,117,2,7,1.2944
1,58,1,2,0.57762
0,20,1,1,0.93853
1,72,2,3,0.059727
1,50,1,5,0.44208
1,23,1,2,0.51556
0,37,1,7,0.33625
1,43,1,2,0.33536
0,29,1,5,0.012094
1,90,2,4,0.012198
1,24,1,4,0.012055
0,6,1,4,0.012235
0,116,2,4,0.011853
1,43,1,4,0.011958
1,84,2,4,0.012093
0,112,2,4,0.012174
0,119,2,4,0.011995
0,105,2,4,0.011875
1,31,1,6,0.26468
0,53,1,6,0.011961
0,72,2,7,0.18119
1,27,1,7,0.012172
1,2,1,2,0.012109
1,89,2,4,0.011529
1,68,2,2,0.023179
0,102,2,7,0.50618
0,54,1,6,0.32237
1,49,1,4,0.16889
1,10,1,4,0.10781
0,42,1,4,0.34484
0,47,1,3,0.75497
0,115,2,3,0.28662
1,15,1,7,0.072169
0,104,2,6,0.70845
1,65,2,7,0.67527
1,86,2,7,0.65991
1,9,1,7,0.2418
0,82,2,4,0.41934
0,74,2,4,0.51705
1,3,1,6,0.01107
0,62,2,5,0.52931
0,12,1,6,0.9354
1,81,2,7,0.012061
1,47,1,7,0.011926
1,18,1,7,0.096612
0,48,1,7,0.50615
1,83,2,7,2.1241
0,98,2,7,0.7309
0,29,1,3,0.32184
1,39,1,5,0.70957
0,20,1,4,0.01225
0,96,2,7,0.53857
1,4,1,7,0.012186
0,33,1,3,0.072419
0,21,1,5,0.011246
0,65,2,3,0.012003
0,5,1,3,0.012102
1,16,1,7,0.27671
1,10,1,4,0.12125
1,101,2,7,0.060157
1,78,2,1,0.30087
1,14,1,1,0.17792
0,87,2,1,0.023495
0,73,2,6,0.012262
0,32,1,1,0.035626
1,110,2,4,0.097024
0,114,2,1,0.012161
1,57,1,1,0.011782
0,90,2,1,0.070328
1,56,1,7,0.24789
0,88,2,1,0.06002
0,55,1,5,0.071966
1,113,2,1,0.046903
0,31,1,1,0.012209
0,35,1,1,0.047754
0,80,2,1,0.060387
0,7,1,7,0.2624
0,27,1,3,0.22814
0,17,1,5,0.012265
1,38,1,3,0.071272
0,118,2,6,0.01225
0,99,2,4,0.012251
1,26,1,7,0.083278
0,45,1,1,0.083689
1,108,2,3,0.28866
0,24,1,7,0.26422
0,107,2,7,0.16688
0,50,1,5,0.012026
0,93,2,7,0.011453
0,40,1,2,0.036207
1,41,1,7,0.081944
1,74,2,5,0.13116
0,36,1,1,0.41647
0,25,1,4,0.11838
0,70,2,1,0.023454
1,51,1,3,0.012061
1,25,1,3,0.047295
0,42,1,2,0.012181
1,120,2,3,0.012086
1,63,2,1,0.12013
0,69,2,6,0.1905
1,19,1,6,0.0121
1,11,1,6,0.011719
0,45,1,3,0.012179
0,113,2,1,0.071833
1,51,1,1,0.0121
1,69,2,4,0.012086
1,106,2,4,0.012073
0,46,1,1,0.012183
0,49,1,1,0.012043
0,19,1,1,0.012071
0,14,1,1,0.012343
1,77,2,6,0.52723
0,22,1,2,0.058738
0,107,2,2,0.25094
1,91,2,7,0.46731
1,34,1,5,0.67016
1,40,1,1,0.33409
0,87,2,1,0.059364
0,7,1,1,0.59621
0,2,1,1,0.012232
1,75,2,1,0.011736
1,8,1,1,0.012336
1,82,2,5,0.012084
1,64,2,7,0.012241
1,118,2,5,0.011559
1,104,2,2,0.012133
1,58,1,4,0.012144
1,76,2,5,0.012121
0,68,2,7,0.012249
1,57,1,4,0.012124
1,60,1,5,0.01187
0,88,2,2,0.012059
0,120,2,5,0.25293
0,17,1,5,0.14381
1,109,2,3,0.50711
0,112,2,3,0.012109
1,52,1,3,0.012069
1,34,1,3,0.010902
1,111,2,3,0.012133
0,44,1,4,0.50046
1,28,1,4,0.012196
1,102,2,4,0.012108
0,5,1,4,0.012112
0,119,2,4,0.011047
1,115,2,4,0.012156
0,15,1,4,0.011084
0,92,2,4,0.012048
0,79,2,4,0.012091
1,99,2,6,0.012163
1,66,2,6,0.012062
0,39,1,6,1.0424
0,59,1,6,0.011998
1,70,2,3,0.012078
1,85,2,3,0.011791
0,18,1,3,0.012224
0,89,2,3,0.012089
0,97,2,3,0.012258
0,30,1,3,0.011326
0,96,2,3,0.012227
0,61,2,3,0.011103
1,92,2,3,0.012095
0,1,1,3,0.012077
1,21,1,3,0.01154
0,85,2,3,0.012258
1,44,1,3,0.011385
0,60,1,3,0.011135
0,71,2,3,0.012068
1,62,2,3,0.012262
1,86,2,3,0.012052
0,101,2,3,0.012073
1,12,1,3,0.011885
1,66,2,3,0.012052
0,83,2,3,0.01207
0,103,2,3,0.012097
0,95,2,3,0.012236
0,38,1,3,0.012077
0,54,1,3,0.012056
1,26,1,3,0.012135
0,61,2,3,0.012275
1,100,2,3,0.012173
0,13,1,3,0.012172
0,55,1,3,0.012235
0,23,1,3,0.012059
1,94,2,3,0.012141
0,97,2,3,0.012014
0,33,1,3,0.011839
1,95,2,3,0.012176
0,9,1,3,0.011939
1,108,2,3,0.012072
1,37,1,3,0.012234
0,36,1,3,0.012143
0,110,2,3,0.011518
0,77,2,3,0.012241
0,67,2,3,0.012061
0,8,1,3,0.011309
1,53,1,3,0.012056
1,56,1,3,0.012074
1,94,2,3,0.012018
1,105,2,3,0.01206
1,78,2,3,0.011424
1,79,2,3,0.012046
1,28,1,3,0.011705
1,106,2,3,0.012058
0,1,1,3,0.0123
0,6,1,3,0.012263
1,100,2,3,0.012175
1,3,1,3,0.012176
0,32,1,3,0.012087
1,13,1,3,0.011009
1,52,1,3,0.01225
0,109,2,3,0.012175
0,75,2,3,0.011769
1,22,1,3,0.012282
1,98,2,3,0.012233
1,114,2,3,0.012051
1,48,1,3,0.012015
1,16,1,3,0.011997
1,81,2,3,0.012056
0,73,2,3,0.012346
1,63,2,3,0.012236
1,4,1,3,0.012189
0,67,2,3,0.012094
0,59,1,3,0.012247
1,111,2,6,3.7765
0,35,1,5,0.012065
0,93,2,5,0.012051
1,71,2,4,0.10889
1,46,1,4,0.012048
1,80,2,4,0.012045
1,11,1,4,0.012054
0,84,2,4,0.011984
1,117,2,4,0.01198
0,30,1,4,0.01205
1,64,2,4,0.01204
